iter	Passed	Remaining
0	5	5016
1	10	5226
2	16	5421
3	21	5366
4	26	5310
5	33	5475
6	38	5412
7	43	5408
8	50	5577
9	55	5521
10	61	5498
11	67	5525
12	72	5504
13	78	5522
14	84	5521
15	89	5496
16	95	5533
17	106	5798
18	117	6087
19	126	6201
20	132	6189
21	138	6175
22	146	6229
23	154	6270
24	160	6250
25	165	6206
26	171	6174
27	179	6231
28	184	6178
29	190	6162
30	199	6223
31	204	6195
32	211	6186
33	216	6152
34	221	6120
35	230	6174
36	237	6183
37	245	6220
38	254	6281
39	263	6326
40	272	6375
41	278	6354
42	284	6329
43	291	6334
44	297	6305
45	302	6276
46	312	6335
47	320	6356
48	327	6355
49	334	6362
50	344	6409
51	352	6429
52	358	6411
53	365	6406
54	375	6449
55	381	6431
56	388	6434
57	394	6414
58	401	6402
59	406	6375
60	412	6349
61	419	6348
62	425	6323
63	430	6298
64	437	6291
65	442	6267
66	449	6256
67	454	6231
68	460	6207
69	467	6216
70	475	6220
71	482	6217
72	489	6214
73	496	6210
74	504	6216
75	510	6212
76	518	6215
77	524	6205
78	532	6213
79	540	6210
80	546	6196
81	551	6179
82	557	6155
83	563	6142
84	568	6120
85	578	6143
86	584	6138
87	591	6134
88	600	6145
89	607	6141
90	615	6145
91	622	6140
92	629	6137
93	634	6116
94	639	6096
95	646	6085
96	651	6065
97	657	6048
98	662	6030
99	668	6014
100	673	5996
101	679	5981
102	684	5962
103	690	5946
104	697	5945
105	702	5927
106	709	5923
107	715	5905
108	720	5888
109	730	5907
110	737	5905
111	745	5909
112	752	5903
113	760	5912
114	767	5906
115	775	5910
116	782	5904
117	789	5902
118	796	5896
119	803	5894
120	810	5888
121	817	5882
122	825	5882
123	832	5877
124	839	5875
125	846	5870
126	853	5866
127	859	5854
128	865	5841
129	871	5834
130	877	5818
131	882	5802
132	891	5811
133	896	5794
134	903	5790
135	909	5775
136	914	5760
137	923	5771
138	930	5762
139	936	5753
140	942	5738
141	947	5723
142	953	5714
143	958	5699
144	964	5686
145	970	5674
146	975	5660
147	981	5648
148	986	5635
149	991	5621
150	1000	5625
151	1006	5612
152	1011	5598
153	1019	5602
154	1026	5597
155	1034	5599
156	1039	5583
157	1046	5578
158	1052	5565
159	1057	5551
160	1063	5542
161	1068	5528
162	1072	5507
163	1078	5497
164	1087	5503
165	1094	5500
166	1101	5495
167	1108	5489
168	1116	5491
169	1123	5485
170	1130	5480
171	1135	5468
172	1141	5457
173	1147	5446
174	1152	5433
175	1158	5424
176	1164	5412
177	1169	5400
178	1175	5391
179	1180	5378
180	1186	5366
181	1192	5357
182	1199	5353
183	1204	5341
184	1211	5336
185	1216	5325
186	1222	5315
187	1228	5304
188	1233	5293
189	1239	5285
190	1245	5275
191	1250	5263
192	1256	5254
193	1261	5242
194	1267	5231
195	1274	5228
196	1280	5217
197	1285	5206
198	1291	5198
199	1296	5187
200	1302	5176
201	1311	5180
202	1319	5180
203	1326	5174
204	1332	5168
205	1340	5167
206	1345	5156
207	1351	5147
208	1357	5137
209	1362	5126
210	1369	5119
211	1375	5110
212	1381	5105
213	1388	5098
214	1393	5087
215	1401	5086
216	1407	5079
217	1414	5075
218	1429	5096
219	1435	5089
220	1440	5078
221	1450	5084
222	1456	5074
223	1462	5064
224	1471	5069
225	1479	5066
226	1486	5060
227	1493	5055
228	1504	5064
229	1510	5057
230	1518	5054
231	1526	5051
232	1533	5049
233	1540	5044
234	1550	5048
235	1556	5038
236	1563	5032
237	1568	5022
238	1573	5011
239	1581	5009
240	1588	5003
241	1597	5003
242	1602	4992
243	1608	4982
244	1614	4974
245	1619	4964
246	1625	4955
247	1630	4945
248	1636	4935
249	1641	4925
250	1647	4915
251	1652	4905
252	1658	4896
253	1665	4891
254	1670	4881
255	1677	4874
256	1682	4865
257	1688	4855
258	1698	4859
259	1704	4852
260	1711	4845
261	1716	4835
262	1722	4826
263	1728	4817
264	1733	4808
265	1739	4801
266	1745	4791
267	1750	4781
268	1756	4774
269	1762	4764
270	1767	4755
271	1774	4748
272	1779	4738
273	1785	4730
274	1793	4728
275	1803	4730
276	1811	4728
277	1820	4729
278	1826	4719
279	1831	4710
280	1837	4702
281	1843	4693
282	1849	4684
283	1856	4681
284	1862	4672
285	1868	4664
286	1874	4655
287	1879	4646
288	1885	4639
289	1893	4636
290	1900	4631
291	1908	4626
292	1915	4621
293	1922	4617
294	1929	4612
295	1938	4609
296	1945	4605
297	1956	4608
298	1965	4608
299	1971	4600
300	1976	4590
301	1982	4582
302	1987	4572
303	1994	4566
304	2000	4558
305	2005	4548
306	2010	4538
307	2016	4530
308	2021	4520
309	2026	4510
310	2032	4503
311	2038	4494
312	2044	4486
313	2050	4478
314	2055	4469
315	2060	4459
316	2065	4450
317	2070	4440
318	2075	4430
319	2082	4425
320	2088	4418
321	2094	4409
322	2099	4400
323	2104	4390
324	2109	4381
325	2114	4371
326	2119	4361
327	2124	4351
328	2129	4343
329	2134	4333
330	2139	4325
331	2145	4317
332	2151	4308
333	2155	4299
334	2161	4291
335	2166	4281
336	2171	4271
337	2177	4265
338	2183	4257
339	2189	4249
340	2195	4241
341	2199	4232
342	2204	4223
343	2210	4215
344	2215	4205
345	2220	4196
346	2226	4189
347	2231	4180
348	2237	4172
349	2244	4169
350	2250	4160
351	2255	4152
352	2260	4143
353	2265	4133
354	2271	4126
355	2277	4119
356	2282	4111
357	2289	4105
358	2294	4096
359	2298	4087
360	2304	4079
361	2309	4070
362	2314	4061
363	2319	4053
364	2324	4044
365	2329	4035
366	2334	4026
367	2339	4018
368	2344	4009
369	2349	4000
370	2354	3992
371	2359	3983
372	2364	3974
373	2370	3967
374	2377	3961
375	2382	3953
376	2387	3945
377	2392	3937
378	2397	3928
379	2403	3921
380	2408	3912
381	2412	3903
